StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,ID,Intro-Time_First Click,Intro-Time_Last Click,Intro-Time_Page Submit,Intro-Time_Click Count,A1,A2,A3,A4,A-Time_First Click,A-Time_Last Click,A-Time_Page Submit,A-Time_Click Count,B1,B2,B3,B4,B-Time_First Click,B-Time_Last Click,B-Time_Page Submit,B-Time_Click Count,C1,C2,C3,C4,C-Time_First Click,C-Time_Last Click,C-Time_Page Submit,C-Time_Click Count,D1,D2,D3,D4,D-Time_First Click,D-Time_Last Click,D-Time_Page Submit,D-Time_Click Count,E1,E2,E3,E4,E-Time_First Click,E-Time_Last Click,E-Time_Page Submit,E-Time_Click Count,F1,F2,F3,F4,F-Time_First Click,F-Time_Last Click,F-Time_Page Submit,F-Time_Click Count,G1,G2,G2_3_TEXT,G3,G4,G5,G-Time_First Click,G-Time_Last Click,G-Time_Page Submit,G-Time_Click Count,H1,H2,H3,H4,H-Time_First Click,H-Time_Last Click,H-Time_Page Submit,H-Time_Click Count,Wrap-1,Wrap-1_2_TEXT,Wrap-2,Wrap-2_2_TEXT,Wrap-3,Wrap-4,Wrap-5_1,Wrap-5_2,Wrap-5_3,Wrap-5_4,Wrap-5_5,Wrap-5_6,Wrap-5_5_TEXT,Wrap-6,Wrap-7,Wrap-8,Wrap-Comments,Wrap-Time_First Click,Wrap-Time_Last Click,Wrap-Time_Page Submit,Wrap-Time_Click Count
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,,,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given a sequence where ""a"" is true at some future point, what happens to the formula?","Does the following sequence of values for ""a"" satisfy the formula? Why or Why not?       a:  T T T T F F F (false from now on) ..","For a sequence to satisfy the formula, what is required of ""a""?","Give an example of a sequence of values for ""a"" that satisfies this formula.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the explanation of the formula above is correct (Yes/No)? Why or Why not?,Which of these sequences satisfies the formula?,"Given a sequence where ""e"" is always true, what happens to the formula?","True or False: For a sequence to satisfy the formula, ""e"" must be permanently false after some point.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the explanation of the formula above is correct (Yes/No)? Why or Why not?,Which of these sequences satisfies the formula?,"Given a sequence where ""p"" is always false and ""s"" is always false, what happens to the formula?","True or False: For a sequence to satisfy the formula, ""p"" must eventually be set to false.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In a sequence, if ""c"" is false now, what can be said about ""r""?",Which of these sequences violate the formula?,"True or False: In a sequence where ""r"" is always false, the formula is violated.",Please explain the meaning of the formula in your own words (1 sentence).,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of these sequences violates the formula?,"True or False: Given a sequence where ""p"" is always false, the formula is violated.",Please explain the meaning of the formula in your own words (1 sentence).,Give an example of a sequence that satisfies this formula.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the explanation of the formula above is correct (Yes/No)? Why or Why not?,Which of these sequences satisfies the formula?,"True or False: The formula is violated, if ""q"" is sometimes true in a sequence.",Please explain the meaning of the formula in your own words (1 sentence).,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the explanation of the formula above is correct (Yes/No)? Why or Why not?,"For a sequence to satisfy the formula, what is required of ""z""? - Selected Choice","For a sequence to satisfy the formula, what is required of ""z""? - None of the above. Please explain: - Text",True or False: The following sequence satisfies the formula.    a:  T T T F T F T T ..   z:   T T F F F F F T ..,Please explain the meaning of the formula in your own words (1 sentence).,Give an example of a sequence that satisfies this formula.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given a sequence where ""a"" is false throughout, what happens to the formula?","Given a sequence where  ""a"" is true and ""w"" never occurs, what happens to the formula?",Please explain the meaning of the formula in your own words (1 sentence).,Give an example of a sequence that satisfies this formula.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Did you have any prior knowledge of, or experience with, LTL before today's class? If so, in what context? - Selected Choice","Did you have any prior knowledge of, or experience with, LTL before today's class? If so, in what context? - Yes - Text","Did you use any additional resources to answer these questions (e.g., the internet, the presented slides, an AI assistant, a peer, etc.)? If so, please give details. - Selected Choice","Did you use any additional resources to answer these questions (e.g., the internet, the presented slides, an AI assistant, a peer, etc.)? If so, please give details. - Yes - Text",How did this topic relate to other topics in this course?,"When comparing the questions that provided explanations with those that did not, to what extent were the explanations helpful in understanding the LTL formula?",Which aspect(s) made the questions challenging to answer? (Select all that apply.) - Selected Choice - Understanding the syntax of LTL,"Which aspect(s) made the questions challenging to answer? (Select all that apply.) - Selected Choice - Understanding the meaning of temporal operators (e.g., G, F, X, U)",Which aspect(s) made the questions challenging to answer? (Select all that apply.) - Selected Choice - Interpreting the implications of formulae,Which aspect(s) made the questions challenging to answer? (Select all that apply.) - Selected Choice - Applying the formula to sequences,Which aspect(s) made the questions challenging to answer? (Select all that apply.) - Selected Choice - Other (please specify):,"Which aspect(s) made the questions challenging to answer? (Select all that apply.) - Selected Choice - None, I did not find the questions challenging",Which aspect(s) made the questions challenging to answer? (Select all that apply.) - Other (please specify): - Text,"Which temporal operator was the most challenging to understand (e.g., X (Next), G (Globally), F (Eventually), or U (Until))? If they were all equally challenging, respond “ALL”.","How would you improve the explanations (e.g., shorter, longer, more visual, more step-by-step breakdowns)?",How could you use LTL (or this kind of reasoning) in a computer science project?,Comments / Corrections / Suggestions:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}",,,"{""ImportId"":""QID74_FIRST_CLICK""}","{""ImportId"":""QID74_LAST_CLICK""}","{""ImportId"":""QID74_PAGE_SUBMIT""}","{""ImportId"":""QID74_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID76_FIRST_CLICK""}","{""ImportId"":""QID76_LAST_CLICK""}","{""ImportId"":""QID76_PAGE_SUBMIT""}","{""ImportId"":""QID76_CLICK_COUNT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID77_FIRST_CLICK""}","{""ImportId"":""QID77_LAST_CLICK""}","{""ImportId"":""QID77_PAGE_SUBMIT""}","{""ImportId"":""QID77_CLICK_COUNT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID79_FIRST_CLICK""}","{""ImportId"":""QID79_LAST_CLICK""}","{""ImportId"":""QID79_PAGE_SUBMIT""}","{""ImportId"":""QID79_CLICK_COUNT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID80_FIRST_CLICK""}","{""ImportId"":""QID80_LAST_CLICK""}","{""ImportId"":""QID80_PAGE_SUBMIT""}","{""ImportId"":""QID80_CLICK_COUNT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_3_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID73""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_2_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_2_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11"",""choiceId"":""1""}","{""ImportId"":""QID11"",""choiceId"":""2""}","{""ImportId"":""QID11"",""choiceId"":""3""}","{""ImportId"":""QID11"",""choiceId"":""4""}","{""ImportId"":""QID11"",""choiceId"":""5""}","{""ImportId"":""QID11"",""choiceId"":""6""}","{""ImportId"":""QID11_5_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID83_FIRST_CLICK""}","{""ImportId"":""QID83_LAST_CLICK""}","{""ImportId"":""QID83_PAGE_SUBMIT""}","{""ImportId"":""QID83_CLICK_COUNT""}"
2/28/25 9:15,2/28/25 9:32,0,131.229.0.9,100,1044,1,2/28/25 9:32,R_5mGnkW8nyRtrwjv,,,,,42.3182,-72.6419,anonymous,EN,Yes,A,14.906,14.906,19.621,1,2,"No. a must be false and therefore !a be true from when the formula takes hold, which in this case is from the beginning of the sequence. Even though a becomes false for most of the sequence, a is true at the beginning of the sequence, which violates the formula. ",1,FFFFFFFFFFFFF,16.923,123.406,132.38,7,Yes. Correct logic and reasoning. ,4,2,1,34.928,64.6,66.283,5,Yes. Correct logic & reasoning. Breakdown makes sense. ,2,2,1,53.04,107.324,108.761,4,3,5,1,"Always, if c is true, then from the next step on forever, r must be true",37.019,88.465,111.63,5,4,1,"Eventually, both p and u must be false at the same time",p: TTTTF u: TFFTF,17.949,60.087,61.524,6,Yes. It's the same way I would put it. ,2,1,Either q is always false or m is always false or both are always false,31.015,78.898,108.625,4,Yes. Logic makes sense. ,2,,2,"If a is false, then at some point z must be true, and this happens whenever a is false throughout the sequence",a:TTTTTT z:FFFFFF,21.845,105.628,116.54,11,1,3,"Throughout the sequence, if a is true, then at some point v must be true until u is true",a:FFFFTFFFF v:FFFFFTTTF u:FFFFFFFFT,17.032,122.465,125.7,15,1,,1,,2,4,,1,1,,,,,F,Visual could be useful at least for explaining the temporal operators ,"In a similar way to a flow chart, to think through what occurs when and what impacts what","My biggest source of confusion is whether F would be separate for each instance. If the condition is triggered multiple times, would a single F that could satisfy the condition satisfy the condition multiple times? ",2.402,101.134,187.074,13
2/28/25 9:14,2/28/25 9:39,0,131.229.0.16,100,1477,1,2/28/25 9:39,R_3CCGaoHdCbfrDtf,,,,,42.3182,-72.6419,anonymous,EN,Yes,B,14.502,14.828,20.642,2,2,"It does not satisfy the formula. !a must always hold throughout the sequence, so a can never be true. ",1,a: F F F F F F F F F F F F F F ,14.938,90.497,105.4,9,"Yes, the explanation above is correct. F means that eventually, or at least once at some future point in the sequence, e must be false. ",4,2,1,51.682,200.628,201.468,21,"Yes, the explanation of the formula is correct. It is globally true, or always true, that when p does not hold, in the next step s must be true. Thus, Whenever p does not hold, s must hold in the next step. ",2,2,1,17.186,223.11,224.075,19,1,1,1,"if c is true at any point in the sequence, from the next step onwards, r must always be true. ",29.913,114.65,115.84,8,3,1,At some future point in the sequence p and u must both be false in the same moment. ,p:T T T T T T F T T F F T U:F F T T F T F T F F T T,27.118,142.518,143.491,24,"The explanation is not entirely correct. It should be ""At least one of the following must be true for the entire sequence: q is always false, or m is always false.""",2,1,"For the entire sequence, m must always be false or q must always be false. ",2.785,98.97,122.138,21,"The explanation of the formula above is correct. It is always true that whenever a is false, then at some point at least once z must be true. ",2,,2,"It is always true that every time a is false, z must eventually be true at some future point in the sequence. ",a: T T T F T T  Z:  F F F F F T,5.856,196.457,199.024,24,3,2,"Whenever a is true, at some future point in the sequence at least once V must be true until W is true. ",a:  F F F T F F T F T  v:  F F F F F T T T F  w: T F T F T F F T T,2.447,195.654,197.714,47,1,,1,,3,5,,,,,,1,,F,They were just right. ,To figure out the logic behind loops.,No,2.518,141.601,144.782,23
2/28/25 9:16,2/28/25 9:47,0,131.229.0.20,100,1914,1,2/28/25 9:47,R_3v2gi9preh6Tq51,,,,,42.3182,-72.6419,anonymous,EN,Yes,C,4.867,4.867,11.565,1,2,Since it has an ! in front of a we can assume that the formula should start of as false instead of true,2,a: F F F F T T T,48.052,132.408,134.343,12,Yes since it accuretly explains the F temporal property when there is an explanation point in front of the variable. ,4,2,1,28.406,120.236,121.981,15,Yes because it explains the relationship p and s have in regard to each other and time t.,1,2,2,175.997,319.579,322.607,15,3,6,2,"When c is true at time t, at t + 1, r is also true.",52.562,239.233,240.808,12,4,1,Eventually both p and u do not hold at the same time t. ,p: F F F F F T u: T T T F T T,59.969,147.605,149.992,8,"Yes, this is correct since it clarifies how either m or q can always be false. ",2,1,q: F F F F F F m: T T F T  F,64.596,139.765,147.038,6,No because it doesn't explicitly state how a must always be false. ,3,doesnt state how a is always false ,1,"a is always false, causing z to eventually become true at some point in the future.",a: F F F F F F F  Z : F T F T F F F,70.904,232.472,257.718,15,3,2,"Whenever a is true, v will eventually be true until w is true. ",a: F F F T T T v: any any any T TF w: any any any any T T,25.988,131.075,133.565,8,1,,1,,2,4,1,,1,1,,,,G,I needed perdonally more step-by-step breakdowns and maybe another example.,To be honest I'm not really sure. I thin it could be useful in terms of making softwares that need to have definitive stop and cut off points especially with the Until temporal operator.,I think adding an example that sort of mimics the style of the quiz could've been helpful! I feel like during the lecture I wasn't really thinking in a way that considered the sequences part and it took sometime for me to think back to the slides and try to apply the same level of thinking.,7.18,386.534,390.462,38
2/28/25 9:14,2/28/25 9:49,0,131.229.0.20,100,2077,1,2/28/25 9:49,R_3LsGzDnAsihBleN,,,,,42.3182,-72.6419,anonymous,EN,Yes,D,4.832,8.063,9.475,2,2,"No, because a is true several times in the sequence even though it must be globally false. ",1,a: F F F F F (False all throughout the given time)...,41.405,177.327,187.124,22,"Yes, because it accurately breaks down and rephrases the explanation. ",4,2,1,4.795,102.337,125.301,13,"Yes, because the meaning of each operator is accurate and phrased correctly. ",2,2,1,4.567,236.994,246.019,17,3,5,1,If at any point C holds then in the next moment and after that r must always hold. ,4.525,300.496,302.58,19,4,1,At some point both p and u must be false. ,p: F F F T T F . . . u: F T T F T F . . .,36.244,154.138,159.598,18,"Yes, because it correctly defines the operators and rephrases the meaning of the formula. ",2,1,"Either q or m, or both must always be false. ",100.188,265.607,267.147,16,"Yes, because it accurately simplified the meaning of the formula.",2,,2,If a is false then eventually z must be true.,a: T T T T F T T . .  z:  F F F F F T F  . .  ,106.327,282.477,283.31,24,1,2,If a is true then eventually v must hold until w eventually holds. ,a: F T F F . . v: F F T T . . w: F F F T . .,99.88,292.266,293.768,17,1,,1,,2,3,,,1,,,,,U,Shorter and more visual. ,Some sort of sequential game. ,,4.983,198.03,199.392,32
2/28/25 9:14,2/28/25 9:49,0,131.229.0.23,100,2072,1,2/28/25 9:49,R_1HNwEBIRkUXcbGg,,,,,42.3182,-72.6419,anonymous,EN,Yes,E,15.32,15.32,19.79,1,2,"Yes, because G(!a) just means that !a must be true in every *future* step, so G(!a) ""activates"" at that 4th interval.",3,a: T F F F F F F F F F F F,2.631,151.231,152.536,16,"Yes, except by calling it ""finally"" instead of ""eventually,"" it sort of implies that it is the final step or that the system is depending entirely on !e holding. It is correct but could be misleading; ""eventually"" is a better way to refer to it! Thats just my opinion. Same with referring to it as ""at least once"". ",4,2,2,73.38,223.679,227.669,20,"Yes. Whenever P does not hold, s must hold in the next step is true, although I would phrase it as any time P is false, s must be true in the next moment.",2,2,1,151.556,298.059,306.983,31,3,5,1,"If at any point c is true, then in the next moment r must always be true going forwards.",98.856,254.153,261.741,16,4,1,"at some point, both p and u must both be false ",p: F F F T F* T F T u: T T T F F* T T F,93.794,199.594,202.782,12,"Yes, but I don't think the ""At least one of the following must be true"" is necessary in the refined phrasing, and the ""either"" in the rebuilding section is misleading, since it implies that they both can't be true at the same time. The ""or both"" at the end clarifies it, but it would be the same statement without being sandwiched by clarifiers. ",2,1,"At all times, q must always be false or m must always be false.",94.262,299.242,306.899,42,"No. Z must eventually be true at some point, but the refined phrasing as well as ""hen z must eventually hold in the future"" implies that z will always be true after that point. Z must be true at some point, but it doesn't need to ""become"" true. Z could also already be true to begin with.",2,,2,"If at any point, a is false, then eventually z must be true at some point.",a: T T T F T T T T z:  T F T T T T T T,75.798,212.147,215.219,29,1,3,"At all times, if a is true then eventually v is true until w is true",a: F F F T F F F F F v: T F T F F F T T F w:F T F T F F F F T,138.05,244.715,245.636,6,1,,1,,2,2,,1,1,,,,,G,I thought the explanations were fine! But I think they overcomplicated things at times by overexplaining.,"For anything that changes states or time, or that has states that depend on each others values, or anything timed!",,3.425,128.408,129.347,31
